EQPMT_ID,EVNT_TMSTMP,KFID,COF,IDENT_ITEM_ID,DCC_BUSN_ENTTY_ID,DCC_BUSN_ENTTY_NM,LAT,LNG,ADDR1,CITY,ZIP,COUNTRY,CONNECTIVITY,OVERALL_STATUS,LAST_BEAT,CUSTOMER_NAME,REGION,MARKET_UNIT,LOCATION,EQPMT_SRL_NUM_VAL,EQPMT_UNDI_ID,BUILDING_SUB_LOCATION_DSC,EQPMT_HLTH_RPRT_ID,SYSTEM_POWERONHOURS,SYSTEM_UPTIME,SYSTEM_FANSPEED,SYSTEM_CPUTEMPERATURE,SYSTEM_CPUSERIALNUMBER,SOFTWARE_KIOSKFRAME,SOFTWARE_PLUGINS,SOFTWARE_CREWMODE,VALVECONTROLLER_FIRMWARE,SSD_FREESPACE,SSD_TEMP,SSD_SERIALNUMBER,SSD_MODELNUMBER,RAM_TOTAL,RAM_USAGE,SYSTEM_TEMP,SYSTEM_UNSAFESHUTDOWNCOUNT,ROW_CRT_DTM,ROW_DEL_FLG,ROW_LAST_UPDT_DTM
13664465,2016-06-13 13:01:47.0,204014,8120150,9402062,35507592,SUBWAY #20947 (SERV.ONLY),43.441789999999997,-79.672399999999996,4 LAKESHORE RD W,OAKVILLE,L6K 1C5,CANADA,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,06-14-2016 03: 19: 19 PM,1008 PBC PORTLAND OR,NORTHEAST RGN,NEW JERSEY MKT,1123,GEGK5440083G,43374,IN1,10963689,2613,"0d, 8h, 1m",3311 RPM,67 C,GEGK5440083G,2613,1.1.1111.447,False,1.7.2.21312,14 GB,45 C,CVLI539100D5030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3881 MB,2026 MB,29 C,4,2016-06-13 10:06:49.0,N,2016-06-13 10:06:49.0
15307115,2016-06-13 13:01:48.0,202235,3511404,9424169,35515188,SUBWAY #22616 (EQUIP),49.125999999999998,-66.484999999999999,5 BOUL SAINTE-ANNE O,STE-ANNE-DES-MONTS,G4V 1P4,CANADA,Transmitting Data,Connected & Reporting,06-14-2016 03: 13: 59 PM,1008 PBC PORTLAND OR,NORTHEAST RGN,NEW JERSEY MKT,1123,GEGK55000H66,44098,BRP,10965609,964,"0d, 8h, 1m",3458 RPM,71 C,GEGK55000H66,964,1.1.1111.447,False,1.7.2.21312,16 GB,47 C,CVLI550100R7030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3717 MB,1832 MB,29 C,2,2016-06-13 10:15:13.0,N,2016-06-13 10:15:13.0
280375,2016-06-13 13:01:41.0,9901271,3342313,9024110,34966760,BUFFALO WILD WINGS 418,43.037399999999998,-88.122613000000001,16750 W BLUEMOUND RD STE G,BROOKFIELD,530055960,CANADA,Transmitting Data,Connected & Reporting,06-14-2016 03: 18: 30 PM,1316 PBC UTICA NY,NORTHEAST RGN,NEW JERSEY MKT,1123,GEGK30100NU8,35857,inside,10963429,18212,"0d, 8h, 1m",2945 RPM,50 C,GEGK30100NU8,18212,1.1.121.427,True,1.6.2,11 GB,40 C,CVLI314200P0030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3753 MB,1813 MB,29 C,21,2016-06-13 10:04:51.0,N,2016-06-13 10:04:51.0
11924683,2016-06-13 13:04:33.0,1100599,3490974,9290811,35505718,CALI TACOS,33.787900000000000,-117.870183999999995,1639 W CHAPMAN AVE,ORANGE,928682707,CANADA,Transmitting Data,Connected & Reporting,06-14-2016 03: 13: 05 PM,1316 PBC UTICA NY,NORTHEAST RGN,NEW JERSEY MKT,1123,GEGK51400VU9,42629,BEV ARE,10963486,6935,"0d, 4h, 0m",3326 RPM,60 C,GEGK51400VU9,6935,1.1.212.429,False,1.6.2,6 GB,51 C,CVLI4500021L030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,4007 MB,3373 MB,29 C,10,2016-06-13 10:05:39.0,N,2016-06-13 10:05:39.0
13660843,2016-06-13 13:01:51.0,203932,8117109,9402059,35507502,SUBWAY #29715 (SERV.ONLY),43.558653800000002,-79.741602000000000,5602 TENTH LINE W UNIT 113,MISSISSAUGA,L5M 7L9,U.S.A,Not Connected,Activation / Installation Issues,06-14-2016 03: 26: 50 PM,1047 PBC WILLIAMSPORT PA,NORTHEAST RGN,UPSTATE E NY MKT,1123,GEGK537013G2,43362,in1,10964819,2659,"0d, 8h, 1m",3379 RPM,66 C,GEGK537013G2,2659,1.1.1111.447,False,1.7.2.21312,14 GB,45 C,CVLI536400EX030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3874 MB,2164 MB,29 C,1,2016-06-13 10:07:19.0,N,2016-06-13 10:07:19.0
246915,2016-05-01 02:36:59.0,9901442,9831230,9149999,34967902,FLIPSIDE ENTERTAINMENT,33.262182199999998,-111.756996400000006,4874 S Val Vista Dr,Gilbert,852980000,U.S.A,Transmitting Data,Connected & Reporting,06-14-2016 02: 44: 44 PM,1047 PBC WILLIAMSPORT PA,MOUNTAIN RGN,UPSTATE E NY MKT,1123,GEGK40300123,34408,spire install 2,7520259,10566,"0d, 15h, 1m",3379 RPM,61 C,GEGK40300123,10566,1.1.1111.447,False,1.1.2.21312,10 GB,39 C,CVLI413500T9030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3796 MB,2262 MB,29 C,27,2016-05-01 02:50:10.0,N,2016-05-01 02:50:10.0
3113486,2016-06-13 13:33:06.0,1100517,9298567,9188637,35016895,EUREST@PEPSICO,42.154200000000003,-88.148200000000003,617 W Main St,Barrington,60010,U.S.A,Transmitting Data,Connected & Reporting,06-14-2016 03: 13: 05 PM,1010 PBC ANCHORAGE AK,MOUNTAIN RGN,UPSTATE E NY MKT,116,GEGK403001V4,33041,CAFE,10966019,1574,"0d, 6h, 1m",2933 RPM,48 C,GEGK403001V4,1574,1.1.1111.447,False,1.6.2.21312,14 GB,35 C,CVLI414400SS030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3788 MB,1779 MB,29 C,160,2016-06-13 10:36:47.0,N,2016-06-13 10:36:47.0
7104901,2016-06-13 13:01:00.0,1101680,9754211,9364120,35500360,SUBWAY #37291 (SERV.ONLY),42.912379999999999,-81.290760000000006,2295 WHARNCLIFFE RD S UNIT 4,LONDON,N6P 1S7,U.S.A,Transmitting Data,Connected & Reporting,06-14-2016 03: 05: 53 PM,1010 PBC ANCHORAGE AK,MOUNTAIN RGN,UPSTATE E NY MKT,116,GEGK52800H8H,41378,in2,10963521,4823,"0d, 8h, 0m",3425 RPM,65 C,GEGK52800H8H,4823,1.1.212.429,False,1.7.2,11 GB,54 C,CVLI452100GM030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3993 MB,2305 MB,29 C,6,2016-06-13 10:06:11.0,N,2016-06-13 10:06:11.0
9900439,2016-06-13 13:01:52.0,201197,9760433,9384544,35504433,SUBWAY #43958 (SERV.ONLY),48.441085000000001,-89.212639999999993,190 CUMBERLAND ST N,THUNDER BAY,P7A 4M8,U.S.A,Transmitting Data,Connected & Reporting,06-14-2016 03: 08: 03 PM,1316 PBC UTICA NY,MOUNTAIN RGN,UPSTATE E NY MKT,116,GEGK54300GYC,42301,in1,10963566,3510,"0d, 8h, 1m",3298 RPM,58 C,GEGK54300GYC,3510,1.1.1111.447,False,1.7.2.21312,9 GB,42 C,CVLI51330090030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3796 MB,1762 MB,29 C,1,2016-06-13 10:06:42.0,N,2016-06-13 10:06:42.0
11607803,2016-06-13 13:01:48.0,201975,9760434,9393350,35508162,SUBWAY #22540 (SERV.ONLY),49.695012900000002,-83.612863000000004,3- 15 ST BOX 2271,HEARST,P0L 1N0,U.S.A,Transmitting Data,Connected & Reporting,06-14-2016 10: 59: 38 AM,1316 PBC UTICA NY,MOUNTAIN RGN,PENN SOUTH MKT,116,GEGK537013EW,42647,in1,10963887,2595,"0d, 8h, 1m",3278 RPM,57 C,GEGK537013EW,2595,1.1.1111.447,False,1.7.2.21312,15 GB,45 C,CVLI5252002R030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3724 MB,1757 MB,29 C,11,2016-06-13 10:06:54.0,N,2016-06-13 10:06:54.0
12814947,2016-06-13 13:01:48.0,203885,9760121,9403874,35506364,SUBWAY #15497 (SERV.ONLY),45.480960000000003,-75.687529999999995,120 BOUL DE L'HOPITAL UNITE 125,GATINEAU,J8T 8M2,U.S.A,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,06-13-2016 09: 20: 35 PM,1047 PBC WILLIAMSPORT PA,MOUNTAIN RGN,PENN SOUTH MKT,116,GEGK527000T5,43564,in1,10963962,2812,"0d, 8h, 1m",3253 RPM,60 C,GEGK527000T5,2812,1.1.1111.447,False,1.7.2.21312,13 GB,43 C,CVLI535600PB030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3865 MB,2077 MB,29 C,6,2016-06-13 10:06:55.0,N,2016-06-13 10:06:55.0
13381165,2016-06-13 13:01:46.0,203310,8700161,9408057,35507194,SUBWAY #13591 (SERV.ONLY),49.279589999999999,-123.130030000000005,1046 DAVIE ST,VANCOUVER,V6E 1M3,U.S.A,Transmitting Data,Connected & Reporting,06-14-2016 02: 47: 12 PM,1047 PBC WILLIAMSPORT PA,MOUNTAIN RGN,PENN SOUTH MKT,116,GEGK55000GX5,43279,in1,10965017,2733,"0d, 8h, 1m",3475 RPM,60 C,GEGK55000GX5,2733,1.1.1111.447,False,1.7.2.21312,14 GB,42 C,CVLI550100HN030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3876 MB,2026 MB,29 C,5,2016-06-13 10:07:31.0,N,2016-06-13 10:07:31.0
